;album_name;album_release_date;track_number;track_name;track_release_date;track_lyrics
0;Spotify Singles;2022-02-23;1.0;Let Somebody Go (Spotify Singles);2022-02-23;"Let Somebody Go (Spotify Singles) Lyrics
(Let somebody, let somebody go)

We had a kind of love
I thought that it would never end
Oh, my lover, oh, my other, oh, my friend
We talked around in circles and
We talked around and then
I loved you to the moon and back again
You gave everything this golden glow
Now turn off all the stars 'cause this I know
That it hurts like so
To let somebody go

All the storms we weathered
Everything that we went through
Now without you, what on earth am I to do?
When I called the mathematicians and
I asked them to explain
They said love is only equal to the pain
And when everything was going wrong
You could turn my sorrow into song

Oh, it hurts like so
To let somebody go
To let somebody go (Body go)
Oh, oh-oh (Oh-oh)
Oh, oh-oh
(Let somebody, let somebody go)

Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
So when you love somebody
When you love somebody
You might also like
Then it hurts like so
To let somebody go
It hurts like so
To let somebody go

But you're still with me now, I know
(Let somebody, let somebody go)
Oh (Let somebody, let somebody go)
But you're still with me now, I knowEmbed"
1;Spotify Singles;2022-02-23;2.0;Day ‘n’ Nite (Spotify Singles);2022-02-23;"Day ‘n’ Nite (Spotify Singles) Lyrics
Day and night
I toss and turn, I keep stressing my mind, mind
I look for peace, but see, I don't attain
What I need for keeps, this silly game we play, play
Now look at this
Madness the magnet keeps attracting me, me
I try to run, but see, I'm not that fast
I think I'm first but surely finish last, last, last

'Cause day and night
The lonely stoner seems to free his mind at night
He's all alone through the day and night
The lonely loner seems to free his mind at night, at, at, at night
Hold the phone
The lonely stoner, Mr. Solo Dolo
He's on the move, can't seem to shake the shade
Within his dreams he sees the life he made, made
The pain is deep
A silent sleeper, you won't hear a peep
The girl he wants don't seem to want him too
It seems the feelings that she had are through, through, through

'Cause day and night
The lonely stoner seems to free his mind at night
He's all alone through the day and night
The lonely loner seems to free his mind at night, at, at, at night
Day and night
The lonely stoner seems to free his mind at night
He's all alone, some things will never change
The lonely loner seems to free his mind at night, at, at, at night

And I've got some issues no one else can see
All these emotions pouring out of me
I got some issues no one else can see
All these emotions pouring out of me
You might also like
Day and night
The lonely stoner seems to free his mind at night
He's all alone through the day and night
The lonely loner seems to free his mind at night, at, at, at night
Oh, day and night
The lonely stoner seems to free his mind at night
He's all alone, some things will never change
That lonely loner seems to free his mind at night
At, at, at night

Day and night
Oh, day and night
Oh, day and night
Oh, day and night
Oh, day and nightEmbed"
2;Infinity Station Sessions - EP;2021-12-02;1.0;Higher Power;2021-05-07;"Higher Power Lyrics
Three, two, one

Sometimes I just can't take it
Sometimes I just can't take it and it isn't alright
I'm not gonna make it
And I think my shoe's untied (Ooh-ooh)
I'm like a broken record
I'm like a broken record and I'm not playin' right
Drocer nekorb a ekil mi
'Til you tell me on your heavenly phone
To hold tight (Hold tight)
Come on (Come on), come on (Come on)
Oh-oh-oh, oh, oh, oh-oh
Come on (Come on), come on (Come on)
Yeah, don't let go, oh, oh, oh-oh
Hold tight (Hold tight), hold tight (Hold tight)
Oh-oh-oh, oh, oh, oh-oh
""It's alright, it's alright"", you said
I've got my hands up shakin' just to let you know

That you've got a higher power
Got me singin' every sеcond, dancin' every hour
Oh yeah, you'vе got a higher power
And you're really someone I wanna know, ooh

This boy is electric
This boy is electric and you're sparklin' like the universe connected
And I'm buzzin' night after night after night (Oh-oh)
This joy is electric
This joy is electric and you're circuiting through
I'm so happy that I'm alive
Happy I'm alive at the same time as you
You might also like
'Cause you've got a higher power
Got me singin' every second, dancin' every hour
Oh yeah, you've got a higher power
And you're really someone I wanna know
(I wanna know, oh, oh, oh, oh-oh)

You've got, yeah, you've got a higher
You've got, yeah, you've got a higher
You've got, yeah, you've got a higher
You've got, oh-oh-oh, oh, oh, oh-oh
You've got, oh, you've got a high
You've got, yeah, you've got a higher
You've got, oh, you've got a high
My hands up shaking just to let you know now

You've got a higher power
You've got me singin' every second, dancin' any hour
Oh yeah, you've got a higher power
You're once in any lifetime
I'm going a million miles an hour

When for so long, I'd been down on my knees
Then your love song saved me over and over
For so long, I'd been down on my knees
'Til your love song floats me on
Ee-oh, oh-oh19Embed"
3;Infinity Station Sessions - EP;2021-12-02;2.0;♡ (Human Heart);2021-10-15;"♡ (Human Heart) Lyrics
Boys, boys don't cry
Boys keep it all inside
I try to hide it underneath
Still my heart starts to beat

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart
Girls can make-believe
Girls wear it on their sleeve
Thought I could pretend for tryin' sake
Still my heart had to break

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart

Ooh
OohYou might also like5Embed"
4;Infinity Station Sessions - EP;2021-12-02;3.0;People of the Pride;2021-10-15;"People of the Pride Lyrics
People on the left
People on the right
Got a lion inside
People of the pride
Let's go

There's a man who swears he's God
Unbelievers will be shot
There's a man who walks around
Like he owns the fucking lot
There's a man who takes his time
From his homemade cuckoo clock
And he makes us march around it
Ticktock, ticktock, ticktock
There's a crocodile cross-eyed
There's a turning of the tide
We're no longer gonna fight for
Some old crook and all his crimes
There's a sewing up of rags
Into revolution flags
Got to stand up to be counted
Be an anthem for your times
It's just work

It's just work, it's not easy
And we could all be blown apart
And heaven is the fire escape
You try to cling to in the dark
It's just work, believe me
Still my beating heart
We'll all be free to fall in love
With who we want and say
Yeah, yeah, yeah
People of the pride
Go
You might also like6Embed"
5;Infinity Station Sessions - EP;2021-12-02;4.0;Coloratura;2021-07-23;"Coloratura Lyrics
Coloratura
We fell in through the clouds
And everyone before us is there, welcoming us now
It's the end of death and doubt
And loneliness is out
Coloratura
The place we dreamed about
The melodies inside yourself and love come pouring out
And everyone's allowed
We're feathered by the crowd
And up there in the heavеns
Galileo and those pining for the moon
Know it's a slow burn
Through Pioneer and Hеlix
Oumuamua, Heliopause and Neptune
We're a slow-burning tune
But we'll get there, so for now
In this crazy world, I do
I just want you

In the end, it's all about
The love you're sending out

And up there in the heavens
The explorers who've all gathered by balloon
Saw the world turn
Through Voyager, Callisto
Calliope, Betelgeuse, the Neon Moons
We're a slow-burning tune
But we'll touch down soon, so will you
And in this crazy world, I do
I just want you
You might also like

And up there in the heavens
Galileo saw reflections of us too
Pluribus unum, unus mundus
All the satellites imbue
The purple, yellow, green, red, orange, and the blue
Oh, it's a crazy world, it's true
Sing it out
Oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh

And in this crazy world, I do
I just want
In this crazy world, it's true
I just want you

Poets prophesy up in the blue
Together, that's how we'll make it through19Embed"
6;Infinity Station Sessions - EP;2021-12-02;5.0;Christmas Lights;2010-12-01;"Christmas Lights Lyrics
Christmas night, another fight
Tears, we cried a flood
Got all kinds of poison in
Of poison in my blood
I took my feet, to Oxford Street
Tryna right a wrong
Just walk away, those windows say
But I can't believe she's gone

When you're still waiting for the snow to fall
Doesn't really feel like Christmas at all
Up above candles on air flicker
Oh, they flicker and they float
But I'm up here holding on
To all those chandeliers of hope
Like some drunken Elvis singing
I go singing out of tune
Saying how I always loved you darling
And I always will

Oh, when you're still waiting for the snow to fall
Doesn't really feel like Christmas at all
Still waiting for the snow to fall
It doesn't really feel like Christmas at all

Those Christmas lights
Light up the street
Down where the sea and city meet
May all your troubles soon be gone
Oh, Christmas lights, keep shining on

Those Christmas lights
Light up the street
Maybe they'll bring her back to me
Then all my troubles will be gone
Oh, Christmas lights, keep shining on
You might also like
Oh-oh-oh-oh, oh-oh-oh-oh

Oh, Christmas lights
Light up the street
Light up the fireworks in me
May all your troubles soon be gone
Those Christmas lights, keep shining on5Embed"
7;Live From Climate Pledge Arena (Amazon Original) - EP;2021-11-05;1.0;Viva la Vida;2008-05-25;"Viva la Vida Lyrics
I used to rule the world
Seas would rise when I gave the word
Now in the morning, I sleep alone
Sweep the streets I used to own


I used to roll the dice
Feel the fear in my enemies' eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world


It was the wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (Mmm, mmm)
Aw, who would ever wanna be king?

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world
You might also like
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh

(Oh-oh-oh, oh-oh, oh)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm230Embed"
8;Live From Climate Pledge Arena (Amazon Original) - EP;2021-11-05;2.0;♡ (Human Heart);2021-10-15;"♡ (Human Heart) Lyrics
Boys, boys don't cry
Boys keep it all inside
I try to hide it underneath
Still my heart starts to beat

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart
Girls can make-believe
Girls wear it on their sleeve
Thought I could pretend for tryin' sake
Still my heart had to break

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart

Ooh
OohYou might also like5Embed"
9;Live From Climate Pledge Arena (Amazon Original) - EP;2021-11-05;3.0;People of the Pride;2021-10-15;"People of the Pride Lyrics
People on the left
People on the right
Got a lion inside
People of the pride
Let's go

There's a man who swears he's God
Unbelievers will be shot
There's a man who walks around
Like he owns the fucking lot
There's a man who takes his time
From his homemade cuckoo clock
And he makes us march around it
Ticktock, ticktock, ticktock
There's a crocodile cross-eyed
There's a turning of the tide
We're no longer gonna fight for
Some old crook and all his crimes
There's a sewing up of rags
Into revolution flags
Got to stand up to be counted
Be an anthem for your times
It's just work

It's just work, it's not easy
And we could all be blown apart
And heaven is the fire escape
You try to cling to in the dark
It's just work, believe me
Still my beating heart
We'll all be free to fall in love
With who we want and say
Yeah, yeah, yeah
People of the pride
Go
You might also like6Embed"
